date,PM10,PM2.5,NO2,SO2,NH3,O3,CO_mg,PM10_subindex,PM2.5_subindex,NO2_subindex,SO2_subindex,NH3_subindex,O3_subindex,CO_mg_subindex,AQI,Dominant,Category
2023-01-01,535.0404166666666,443.94,93.23625,102.26041666666667,63.490833333333335,62.68749999999999,10.427475,401.1034458641746,401.19149124302,113.23625,108.03940217391305,15.872708333333334,62.68749999999999,205.69855434782608,401.0,PM2.5,Severe
2023-01-02,830.14875,698.1041666666666,110.18708333333332,110.18958333333335,49.09,50.839999999999996,10.320665,401.3968677625566,401.4437469297938,130.1870833333333,110.66477842809365,12.2725,500.0,204.16606304347826,500.0,O3,Severe
2023-01-03,434.33375,381.8104166666667,71.80125,59.57458333333333,18.581666666666667,71.22375000000001,6.54220625,401.0033146988521,401.1298281812349,89.6990064102564,74.33729700854701,4.645416666666667,71.22375000000001,156.6681542721519,401.0,PM2.5,Severe
2023-01-04,350.49083333333334,304.0216666666667,75.6575,52.07375,13.959583333333335,80.86875,3.7083625,500.0,401.05262353507305,94.54403846153846,64.91317307692307,3.4898958333333336,80.86875,121.15542879746835,500.0,PM10,Severe
2023-01-05,496.78791666666666,423.6045833333333,81.71208333333333,58.00458333333333,21.72458333333333,50.51624999999999,7.7037812500000005,401.0654119630608,401.17130852188996,101.71208333333333,72.3647329059829,5.431145833333333,500.0,171.22460047468354,500.0,O3,Severe
2023-01-06,494.4995833333333,418.07958333333335,93.65083333333332,68.69500000000001,25.464583333333334,28.894999999999996,9.16576375,401.0631367067059,401.16582500827076,113.65083333333332,85.79628205128206,6.366145833333333,28.894999999999996,189.54564699367089,401.0,PM2.5,Severe
2023-01-07,294.6379166666667,265.90500000000003,62.63375,36.13041666666667,10.715000000000002,78.6775,4.332541249999999,244.63791666666668,401.0147930806324,78.18086538461539,45.163020833333334,2.6787500000000004,78.6775,128.97741566455696,401.0,PM2.5,Severe
2023-01-08,396.26666666666665,354.21791666666667,65.04708333333333,37.96875,11.099583333333333,84.1775,5.000115,357.726582278481,401.1024428691014,81.21300213675214,47.4609375,2.7748958333333333,84.1775,137.34321329113925,401.0,PM2.5,Severe
2023-01-09,650.2166666666667,557.80625,101.67541666666666,99.41041666666666,43.3125,7.051249999999997,10.49423125,401.21796392451466,401.3045024887468,121.67541666666666,107.0957566889632,10.828125,7.051249999999997,206.6563614130435,401.0,PM2.5,Severe
2023-01-10,376.3883333333333,340.75291666666664,61.22,44.44541666666667,10.025833333333333,71.03625,5.5708875,332.8157594936709,401.0890789757291,76.40461538461538,55.328856837606835,2.5064583333333332,71.03625,144.4959319620253,401.0,PM2.5,Severe
2023-01-11,507.72125,450.96875,101.54833333333333,65.74374999999999,16.80375,41.8425,7.363321249999999,401.07628281643883,401.1984672152102,121.54833333333333,82.08830128205128,4.2009375,41.8425,166.9580764240506,401.0,PM2.5,Severe
2023-01-12,326.6666666666667,300.4270833333333,59.26333333333333,45.43833333333333,8.845416666666667,103.08624999999999,2.411605,276.6666666666667,401.0490559429167,73.94623931623931,56.57636752136752,2.2113541666666667,104.08266791044775,104.90492341772152,401.0,PM2.5,Severe
2023-01-13,673.7783333333333,590.3683333333333,85.19666666666667,123.10333333333334,63.056250000000006,34.71249999999999,15.39421,401.2413909449728,401.3368200683716,105.19666666666667,114.94056856187291,15.764062500000001,34.71249999999999,276.96040434782606,401.0,PM2.5,Severe
2023-01-14,239.56375,216.67791666666665,34.643750000000004,31.808333333333334,10.581666666666667,103.535,11.1951825,193.06584731543626,374.42723837209303,43.30468750000001,39.760416666666664,2.6454166666666667,104.74574626865672,216.71348804347826,374.0,PM2.5,Very Poor
2023-01-15,152.89916666666667,127.66000000000001,48.217083333333335,31.977500000000003,16.03375,99.5975,2.09784625,135.4833389261745,306.1111627906977,60.067617521367524,39.971875000000004,4.0084375,99.5975,500.0,500.0,CO_mg,Severe
2023-01-16,221.79458333333332,175.975,66.58958333333334,44.594166666666666,21.626666666666665,79.16999999999999,2.86722125,181.25948825503355,343.19011627906974,83.15101495726496,55.51574786324786,5.406666666666666,79.16999999999999,110.61454477848102,343.0,PM2.5,Very Poor
2023-01-17,317.0941666666667,259.33250000000004,70.78666666666668,48.14124999999999,23.75583333333333,98.52749999999999,4.8131949999999994,267.0941666666667,401.00826993253065,88.42427350427351,59.972339743589735,5.938958333333333,98.52749999999999,135.00079810126581,401.0,PM2.5,Severe
2023-01-18,439.0725,360.4066666666667,85.55333333333334,58.322916666666664,29.918333333333333,80.72375,6.59561125,401.00802636864887,401.1085851487233,105.55333333333334,72.76469017094017,7.479583333333333,80.72375,157.33740680379748,401.0,PM2.5,Severe
2023-01-19,611.3379166666667,526.4858333333333,132.17749999999998,174.06583333333333,63.45166666666666,52.47249999999999,13.76533625,401.17930735218795,401.27341725230326,152.17749999999998,131.8144397993311,15.862916666666665,52.47249999999999,253.58960706521742,401.0,PM2.5,Severe
2023-01-20,318.20708333333334,265.76166666666666,64.61874999999999,55.958333333333336,19.51875,69.33624999999999,5.81455375,268.20708333333334,401.01465082356714,80.67483974358973,69.79380341880342,4.8796875,69.33624999999999,147.5494710443038,401.0,PM2.5,Severe
2023-01-21,320.2320833333333,245.02958333333333,66.10375,57.86875,21.34166666666667,62.404999999999994,3.30448125,270.2320833333333,396.1854941860465,82.54060897435897,72.1940705128205,5.335416666666667,62.404999999999994,116.09413212025316,396.0,PM2.5,Very Poor
